,species,ln_r_mu,ln_r_sd,r_mean,r_var,dispersion,r_orig,r,r_lower_bound,r_upper_bound,r_bound_note,source,link,congener_sp,alt_species
165,Morone saxatilis,-1.369697959,0.09481446234,0.2553288215,0.0005887113701,0.00230569885,0.2553187553,,,,,,,,
166,Spisula solidissima,NA,NA,NA,NA,NA,0.6606905274,0.47,0.31,0.7,95% CL ,SLB,https://www.sealifebase.ca/summary/Spisula-solidissima.html,,
167,Xiphias gladius,-1.155212779,0.05956634823,0.3155498193,0.0003539227847,0.001121606679,0.3155495665,,,,,,,,
168,Raja clavata,-2.730253029,0.1233930095,0.06570106708,6.62E-05,0.001008008002,0.06569896751,,,,,,,,
169,Galeoides decadactylus,-0.6848892692,0.1463200962,0.5095718152,0.005619220537,0.0110273378,0.5095465523,,,,,,,,
170,Lopholatilus chamaeleonticeps,-1.940145695,0.1315003504,0.1449307084,0.0003663827729,0.002527985801,0.1449196987,,,,,,,,
171,Pseudocaranx dentex,-0.9747148045,0.155753487,0.3819042982,0.003581484747,0.009377963967,0.381895849,,,,,,,,
172,Rhomboplites aurorubens,-0.949481156,0.173306473,0.3927965093,0.004704388478,0.01197665551,0.392729366,,,,,,,,
173,Seriolella brama,-1.402408121,0.1852177198,0.2502598955,0.002185839391,0.008734277563,0.2502117247,,,,,,,,
174,Cynoscion regalis,-1.115405315,0.1451082328,0.3312515854,0.002334965129,0.007048917596,0.3312145082,,,,,,,,
175,Urophycis tenuis,-1.745681762,0.2077924984,0.1783347457,0.001403270264,0.007868742898,0.1782622855,,,,,,,,
176,Merlangius merlangus,-0.9262905865,0.03641118013,0.3962825946,0.0002083374892,0.0005257295981,0.3962820518,,,,,,,,
177,Scophthalmus aquosus,-0.5377810964,0.1643953744,0.5919884367,0.009600358219,0.01621713808,0.591903196,,,,,,,,
178,Pseudopleuronectes americanus,-1.183179518,0.07745606517,0.3072234958,0.0005679670328,0.001848709622,0.3072213207,,,,,,,,
179,Glyptocephalus cynoglossus,-1.903796127,0.1046560823,0.1498201538,0.0002472008645,0.001649984053,0.1498152829,,,,,,,,
180,Sebastes entomelas,-2.628681053,0.5902061908,0.08590533208,0.003075269071,0.03579834914,0.08517461966,,,,,,,,
181,Buccinum undatum,NA,NA,NA,NA,NA,0.2760110469,0.57,0.37,0.85,95% CL,SLB,https://www.sealifebase.ca/summary/Buccinum-undatum.html,,
182,Limanda ferruginea,-1.132630125,0.1632808181,0.3265083317,0.002880454466,0.008821993763,0.3264537298,,,,,,,,
183,Sebastes ruberrimus,-3.358570442,0.2520868882,0.03590795061,8.46E-05,0.002355935717,0.03588485594,,,,,,,,
184,Thunnus albacares,-0.9914731293,0.0593311778,0.3716833358,0.0004871657452,0.001310701068,0.3716812794,,,,,,,,
185,Zearaja chilensis,-3.320705885,0.199751127,0.03685530797,5.53E-05,0.001500277569,0.03685180978,,,,,,,,
186,Limanda aspera,-1.635268559,0.09585036255,0.1957973834,0.0003538325723,0.001807136368,0.1957922744,,,,,,,,
187,Sebastes flavidus,-2.861621475,0.215822049,0.05852320735,0.0001633058178,0.002790445453,0.05850833668,,,,,,,,
188,Polydactylus quadrifilis,-0.5995477301,0.2326377176,0.5641203994,0.01769737863,0.03137163387,0.5637845435,,,,,,,,
189,Pseudopercis semifasciata,-0.7365071582,0.7554564925,0.636895363,0.3121492286,0.4901106944,0.6161513562,,,,,,,,
190,Cottoperca gobio,-0.9013564802,0.9376625553,0.6301792688,0.5595497806,0.8879215937,0.5854354543,,,,,,,,
191,Cilus gilberti,-0.7094370522,0.6911113182,0.6246151211,0.2388682954,0.3824247722,0.6149215344,,,,,,,,
192,Cynoscion guatucupa,-0.6113952637,0.1248567863,0.546839108,0.004698216119,0.008591587637,0.5467914605,,,,,,,,
193,Limanda limanda,-0.7762910274,0.06831959892,0.4611844334,0.0009950704731,0.002157641068,0.461182212,,,,,,,,
194,Liza klunzingeri,-0.8543187514,0.532025129,0.4902727635,0.07864159705,0.1604037648,0.4866921894,,,,,,,,
195,Dipturus innominatus,-2.614142847,0.3176970542,0.07702100225,0.0006300079258,0.00817969005,0.07689408201,,,,,,,,
196,Alectis alexandrinus,NA,NA,NA,NA,NA,0.4633257641,0.28,0.16,0.49,95% CL,FB,https://www.fishbase.se/summary/988,Alectis ciliaris,
197,Coelorinchus chilensis,-1.781447686,0.6453165349,0.2073740791,0.02221342146,0.1071176376,0.20473056,,,,,,,,
198,Larimichthys polyactis,-0.6120488467,0.129324699,0.5467922171,0.005042482785,0.009221935916,0.5467525539,,,,,,,,
199,Haemulon plumierii,-0.5501490859,0.07874702863,0.5786551709,0.002082836953,0.003599444121,0.578658105,,,,,,,,
200,Salvelinus alpinus,NA,NA,NA,NA,NA,0.7458586018,0.2,0.13,0.31,95% CL,FB,https://www.fishbase.se/summary/Salvelinus-alpinus.html,,
201,Scolopsis taeniata,0.08290827683,0.2004563401,1.10849102,0.0503800671,0.04544923341,1.108309695,,,,,,,,
